step,layer,hops,path_mass,route_divergence,relation_residual,relation_shuffled,relation_coverage,sources
58,1,2,0.043948144,0.12613677978515625,0.0914258360862732,0.11308874189853668,1.0,"[[254, "","", 0.0017274515703320503], [249, "","", 0.0016923793591558933], [237, "","", 0.0016711171483621001]]"
59,1,2,0.044066828,0.1290426254272461,0.07513338327407837,0.10185281932353973,1.0,"[[249, "","", 0.0017336696619167924], [254, "","", 0.0017055654898285866], [237, "","", 0.0016872789710760117]]"
60,1,2,0.034984928,0.21047496795654297,0.06402231007814407,0.08942225575447083,1.0,"[[249, "","", 0.0014166318578645587], [254, "","", 0.0013665517326444387], [237, "","", 0.0013472524005919695]]"
61,1,2,0.042801842,0.23182249069213867,0.10101540386676788,0.13529254496097565,1.0,"[[249, "","", 0.001784596242941916], [254, "","", 0.001671919715590775], [237, "","", 0.0016683961730450392]]"
62,1,2,0.0501719,0.10541152954101562,0.04066501557826996,0.06160370633006096,1.0,"[[249, "","", 0.0020391657017171383], [254, "","", 0.0019720157142728567], [237, "","", 0.0019405341008678079]]"
63,1,2,0.041036695,0.1314082145690918,0.022003918886184692,0.04490514472126961,1.0,"[[249, "","", 0.0016986443661153316], [254, "","", 0.0016553429886698723], [237, "","", 0.0015875179087743163]]"
64,1,2,0.048466086,0.14304113388061523,0.04936649277806282,0.07852880656719208,1.0,"[[249, "","", 0.0020473201293498278], [254, "","", 0.0019752252846956253], [237, "","", 0.0018612241838127375]]"
65,1,2,0.048084065,0.15202093124389648,0.08828096091747284,0.12071531265974045,1.0,"[[249, "","", 0.002069084672257304], [254, "","", 0.0019799047149717808], [237, "","", 0.0018183341016992927]]"
66,1,2,0.043229673,0.18500852584838867,0.05494365841150284,0.07606976479291916,1.0,"[[254, "","", 0.0018131030956283212], [249, "","", 0.0018119271844625473], [237, "","", 0.00159172504208982]]"
67,1,2,0.04104311,0.20161724090576172,0.005472957156598568,0.026012884452939034,1.0,"[[254, "","", 0.001720408909022808], [249, "","", 0.0016779061406850815], [237, "","", 0.001472654053941369]]"
68,1,2,0.039524317,0.12122011184692383,0.029815049842000008,0.05350237339735031,1.0,"[[254, "","", 0.0016804829938337207], [249, "","", 0.001593271386809647], [231, "","", 0.0013920434284955263]]"
